fractions,D_estimates,delta_Ds,D_true
0.05,1.2699194632455526,0.0005535455080207807,1.2693659177375318
0.1,1.2680626971147422,-0.001303220622789647,1.2693659177375318
0.15,1.270977367797553,0.00161145006002128,1.2693659177375318
0.2,1.2746024061206842,0.005236488383152382,1.2693659177375318
0.25,1.271412260948433,0.002046343210901247,1.2693659177375318
0.3,1.2710764081022643,0.0017104903647324754,1.2693659177375318
0.35,1.2716444639459725,0.0022785462084407015,1.2693659177375318
0.39999999999999997,1.2707959043907406,0.0014299866532088146,1.2693659177375318
0.44999999999999996,1.273596762995161,0.004230845257629179,1.2693659177375318
0.49999999999999994,1.2693658069321911,-1.1080534068064196e-07,1.2693659177375318
0.5499999999999999,1.268740910809383,-0.0006250069281488191,1.2693659177375318
0.6,1.2661885925458534,-0.0031773251916784595,1.2693659177375318
0.65,1.2683000643290434,-0.0010658534084884153,1.2693659177375318
0.7,1.266062229092548,-0.00330368864498376,1.2693659177375318
0.75,1.264690022051183,-0.004675895686348852,1.2693659177375318
0.7999999999999999,1.268590437770094,-0.0007754799674377644,1.2693659177375318
0.85,1.2636896611120285,-0.0056762566255033065,1.2693659177375318
0.9,1.263499997214834,-0.005865920522697854,1.2693659177375318
0.95,1.263753627455,-0.00561229028253174,1.2693659177375318
